Category,Id
unrelated,321187
unrelated,321190
unrelated,321189
unrelated,321193
unrelated,321191
unrelated,321194
unrelated,321192
unrelated,321197
unrelated,321195
unrelated,321199
agreed,321198
agreed,321201
agreed,321196
agreed,321200
unrelated,321203
agreed,321202
agreed,321206
unrelated,321204
agreed,321207
unrelated,321208
unrelated,321205
unrelated,321209
unrelated,321211
unrelated,321210
unrelated,321214
unrelated,321213
unrelated,321215
unrelated,321212
agreed,321218
unrelated,321220
unrelated,321216
unrelated,321219
unrelated,321217
unrelated,321221
unrelated,321223
unrelated,321225
agreed,321224
unrelated,321222
unrelated,321226
unrelated,321228
unrelated,321227
unrelated,321230
unrelated,321232
agreed,321229
unrelated,321231
agreed,321234
agreed,321233
unrelated,321235
unrelated,321239
unrelated,321237
agreed,321238
unrelated,321242
unrelated,321236
agreed,321240
unrelated,321241
unrelated,321245
unrelated,321243
unrelated,321244
unrelated,321247
unrelated,321249
unrelated,321253
unrelated,321251
agreed,321248
unrelated,321246
unrelated,321250
unrelated,321254
unrelated,321252
unrelated,321257
unrelated,321255
agreed,321258
unrelated,321256
agreed,321260
agreed,321259
unrelated,321261
unrelated,321262
agreed,321263
unrelated,321264
unrelated,321267
unrelated,321271
unrelated,321269
unrelated,321266
unrelated,321265
agreed,321270
unrelated,321273
agreed,321268
unrelated,321272
agreed,321274
agreed,321275
agreed,321276
unrelated,321277
unrelated,321279
unrelated,321278
agreed,321280
unrelated,321281
agreed,321286
agreed,321285
unrelated,321282
agreed,321284
unrelated,321288
unrelated,321283
unrelated,321287
unrelated,321290
agreed,321289
unrelated,321291
agreed,321293
agreed,321292
agreed,321294
unrelated,321297
unrelated,321296
agreed,321295
unrelated,321298
unrelated,321300
unrelated,321299
agreed,321301
unrelated,321305
agreed,321302
agreed,321304
unrelated,321307
unrelated,321308
agreed,321303
unrelated,321309
unrelated,321311
agreed,321310
agreed,321314
unrelated,321306
unrelated,321312
unrelated,321313
unrelated,321315
agreed,321317
unrelated,321316
agreed,321318
agreed,321319
agreed,321320
agreed,321323
agreed,321321
agreed,321328
unrelated,321324
agreed,321322
agreed,321326
unrelated,321325
agreed,321329
agreed,321327
unrelated,321330
unrelated,321332
unrelated,321335
unrelated,321336
unrelated,321334
agreed,321338
unrelated,321337
agreed,321333
agreed,321331
unrelated,321341
unrelated,321342
agreed,321339
unrelated,321340
unrelated,321343
unrelated,321344
unrelated,321348
unrelated,321346
unrelated,321345
unrelated,321349
unrelated,321352
unrelated,321355
agreed,321354
unrelated,321351
unrelated,321353
unrelated,321350
unrelated,321347
unrelated,321356
unrelated,321357
unrelated,321358
agreed,321359
disagreed,321360
disagreed,321361
unrelated,321363
unrelated,321364
disagreed,321362
unrelated,321365
agreed,321366
agreed,321369
agreed,321368
agreed,321367
agreed,321372
agreed,321370
agreed,321373
agreed,321371
agreed,321374
agreed,321375
agreed,321377
agreed,321376
agreed,321378
agreed,321379
agreed,321380
agreed,321381
agreed,321382
agreed,321383
agreed,321384
agreed,321385
agreed,321386
agreed,321387
agreed,321389
agreed,321388
unrelated,321391
agreed,321390
unrelated,321392
unrelated,321393
unrelated,321395
unrelated,321397
unrelated,321396
unrelated,321394
unrelated,321399
disagreed,321398
unrelated,321400
unrelated,321402
unrelated,321403
unrelated,321401
unrelated,321404
unrelated,321406
unrelated,321409
unrelated,321408
unrelated,321405
unrelated,321407
disagreed,321411
unrelated,321410
disagreed,321412
unrelated,321413
unrelated,321414
unrelated,321417
unrelated,321415
unrelated,321416
unrelated,321420
unrelated,321418
unrelated,321419
unrelated,321422
unrelated,321421
unrelated,321425
unrelated,321423
unrelated,321424
unrelated,321427
disagreed,321430
unrelated,321426
unrelated,321429
unrelated,321431
unrelated,321432
unrelated,321428
unrelated,321435
unrelated,321436
unrelated,321433
unrelated,321434
unrelated,321437
unrelated,321438
unrelated,321439
unrelated,321441
unrelated,321440
unrelated,321442
disagreed,321445
disagreed,321443
unrelated,321446
disagreed,321447
unrelated,321444
agreed,321450
agreed,321451
agreed,321449
unrelated,321448
agreed,321452
unrelated,321453
disagreed,321454
disagreed,321456
disagreed,321457
disagreed,321455
disagreed,321458
disagreed,321460
disagreed,321461
disagreed,321459
unrelated,321466
unrelated,321465
disagreed,321462
agreed,321463
unrelated,321464
disagreed,321468
agreed,321470
agreed,321471
disagreed,321469
agreed,321472
agreed,321474
agreed,321475
disagreed,321467
agreed,321476
agreed,321473
agreed,321481
agreed,321477
agreed,321478
disagreed,321479
agreed,321480
agreed,321482
disagreed,321484
unrelated,321483
unrelated,321488
disagreed,321489
disagreed,321487
disagreed,321490
disagreed,321485
disagreed,321491
agreed,321493
disagreed,321492
unrelated,321497
unrelated,321495
unrelated,321496
unrelated,321494
disagreed,321498
unrelated,321486
disagreed,321499
disagreed,321500
disagreed,321501
unrelated,321502
unrelated,321506
disagreed,321503
unrelated,321504
unrelated,321505
unrelated,321507
unrelated,321509
unrelated,321511
unrelated,321508
unrelated,321510
unrelated,321513
unrelated,321514
unrelated,321512
unrelated,321516
unrelated,321517
unrelated,321518
unrelated,321519
unrelated,321520
unrelated,321515
unrelated,321523
unrelated,321522
unrelated,321521
agreed,321524
agreed,321525
unrelated,321526
unrelated,321529
unrelated,321528
unrelated,321527
