Id,Category
321187,unrelated
321190,unrelated
321189,unrelated
321193,unrelated
321191,unrelated
321194,unrelated
321192,unrelated
321197,unrelated
321195,unrelated
321199,unrelated
321198,agreed
321201,agreed
321196,agreed
321200,agreed
321203,unrelated
321202,agreed
321206,agreed
321204,unrelated
321207,agreed
321208,unrelated
321205,unrelated
321209,unrelated
321211,unrelated
321210,unrelated
321214,unrelated
321213,unrelated
321215,unrelated
321212,unrelated
321218,agreed
321220,unrelated
321216,unrelated
321219,unrelated
321217,unrelated
321221,unrelated
321223,unrelated
321225,unrelated
321224,agreed
321222,unrelated
321226,unrelated
321228,unrelated
321227,unrelated
321230,unrelated
321232,unrelated
321229,agreed
321231,unrelated
321234,agreed
321233,agreed
321235,unrelated
321239,unrelated
321237,unrelated
321238,unrelated
321242,unrelated
321236,unrelated
321240,agreed
321241,unrelated
321245,unrelated
321243,unrelated
321244,unrelated
321247,unrelated
321249,unrelated
321253,unrelated
321251,unrelated
321248,agreed
321246,unrelated
321250,unrelated
321254,unrelated
321252,unrelated
321257,unrelated
321255,unrelated
321258,agreed
321256,unrelated
321260,agreed
321259,agreed
321261,unrelated
321262,unrelated
321263,agreed
321264,unrelated
321267,unrelated
321271,unrelated
321269,unrelated
321266,unrelated
321265,unrelated
321270,agreed
321273,unrelated
321268,agreed
321272,unrelated
321274,agreed
321275,agreed
321276,agreed
321277,unrelated
321279,unrelated
321278,unrelated
321280,agreed
321281,unrelated
321286,unrelated
321285,agreed
321282,unrelated
321284,agreed
321288,unrelated
321283,unrelated
321287,unrelated
321290,unrelated
321289,agreed
321291,unrelated
321293,agreed
321292,agreed
321294,agreed
321297,unrelated
321296,unrelated
321295,agreed
321298,unrelated
321300,unrelated
321299,unrelated
321301,agreed
321305,unrelated
321302,unrelated
321304,agreed
321307,unrelated
321308,unrelated
321303,agreed
321309,unrelated
321311,unrelated
321310,agreed
321314,agreed
321306,unrelated
321312,unrelated
321313,unrelated
321315,unrelated
321317,agreed
321316,unrelated
321318,agreed
321319,agreed
321320,agreed
321323,agreed
321321,agreed
321328,agreed
321324,unrelated
321322,agreed
321326,agreed
321325,unrelated
321329,unrelated
321327,agreed
321330,unrelated
321332,unrelated
321335,unrelated
321336,unrelated
321334,unrelated
321338,agreed
321337,unrelated
321333,agreed
321331,unrelated
321341,unrelated
321342,unrelated
321339,agreed
321340,unrelated
321343,unrelated
321344,unrelated
321348,unrelated
321346,unrelated
321345,unrelated
321349,unrelated
321352,unrelated
321355,unrelated
321354,agreed
321351,unrelated
321353,unrelated
321350,unrelated
321347,unrelated
